"REF_DATE","GEO","DGUID","Sex","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2020","New Brunswick","2016A000213","Both sexes","80 to 84 years","Persons","249","units","0","v468204","5.1.88","19475","","","","0"
"2020","New Brunswick","2016A000213","Both sexes","85 to 89 years","Persons","249","units","0","v468207","5.1.89","11705","","","","0"
"2020","New Brunswick","2016A000213","Both sexes","90 to 94 years","Persons","249","units","0","v31226680","5.1.126","5213","","","","0"
"2020","New Brunswick","2016A000213","Both sexes","95 to 99 years","Persons","249","units","0","v31226686","5.1.132","1704","","","","0"
"2020","New Brunswick","2016A000213","Both sexes","100 years and over","Persons","249","units","0","v31226692","5.1.138","264","","","","0"
"2020","New Brunswick","2016A000213","Both sexes","Median age","Years","308","units","0","v467949","5.1.105","46.1","","","","1"
"2020","Quebec","2016A000224","Both sexes","All ages","Persons","249","units","0","v468243","6.1.1","8574571","","","","0"
"2020","Quebec","2016A000224","Both sexes","0 to 4 years","Persons","249","units","0","v468459","6.1.7","430250","","","","0"
"2020","Quebec","2016A000224","Both sexes","5 to 9 years","Persons","249","units","0","v468273","6.1.13","465890","","","","0"
"2020","Quebec","2016A000224","Both sexes","10 to 14 years","Persons","249","units","0","v468291","6.1.19","457420","","","","0"
"2020","Quebec","2016A000224","Both sexes","15 to 19 years","Persons","249","units","0","v468312","6.1.25","426496","","","","0"
"2020","Quebec","2016A000224","Both sexes","20 to 24 years","Persons","249","units","0","v468333","6.1.31","499370","","","","0"
"2020","Quebec","2016A000224","Both sexes","25 to 29 years","Persons","249","units","0","v468351","6.1.37","564669","","","","0"
"2020","Quebec","2016A000224","Both sexes","30 to 34 years","Persons","249","units","0","v468372","6.1.43","548066","","","","0"
"2020","Quebec","2016A000224","Both sexes","35 to 39 years","Persons","249","units","0","v468390","6.1.49","578273","","","","0"
"2020","Quebec","2016A000224","Both sexes","40 to 44 years","Persons","249","units","0","v468411","6.1.55","581724","","","","0"
"2020","Quebec","2016A000224","Both sexes","45 to 49 years","Persons","249","units","0","v468432","6.1.61","527233","","","","0"
"2020","Quebec","2016A000224","Both sexes","50 to 54 years","Persons","249","units","0","v468450","6.1.67","546847","","","","0"
"2020","Quebec","2016A000224","Both sexes","55 to 59 years","Persons","249","units","0","v468471","6.1.73","637724","","","","0"
"2020","Quebec","2016A000224","Both sexes","60 to 64 years","Persons","249","units","0","v468489","6.1.79","619126","","","","0"
"2020","Quebec","2016A000224","Both sexes","65 to 69 years","Persons","249","units","0","v468510","6.1.85","529279","","","","0"
"2020","Quebec","2016A000224","Both sexes","70 to 74 years","Persons","249","units","0","v468513","6.1.86","440008","","","","0"
"2020","Quebec","2016A000224","Both sexes","75 to 79 years","Persons","249","units","0","v468516","6.1.87","313752","","","","0"
"2020","Quebec","2016A000224","Both sexes","80 to 84 years","Persons","249","units","0","v468519","6.1.88","198497","","","","0"
"2020","Quebec","2016A000224","Both sexes","85 to 89 years","Persons","249","units","0","v468522","6.1.89","128147","","","","0"
"2020","Quebec","2016A000224","Both sexes","90 to 94 years","Persons","249","units","0","v31226719","6.1.126","60879","","","","0"
"2020","Quebec","2016A000224","Both sexes","95 to 99 years","Persons","249","units","0","v31226725","6.1.132","18086","","","","0"
"2020","Quebec","2016A000224","Both sexes","100 years and over","Persons","249","units","0","v31226731","6.1.138","2835","","","","0"
"2020","Quebec","2016A000224","Both sexes","Median age","Years","308","units","0","v468264","6.1.105","42.7","","","","1"
"2020","Ontario","2016A000235","Both sexes","All ages","Persons","249","units","0","v468558","7.1.1","14734014","","","","0"
"2020","Ontario","2016A000235","Both sexes","0 to 4 years","Persons","249","units","0","v468774","7.1.7","723016","","","","0"
"2020","Ontario","2016A000235","Both sexes","5 to 9 years","Persons","249","units","0","v468588","7.1.13","762654","","","","0"
"2020","Ontario","2016A000235","Both sexes","10 to 14 years","Persons","249","units","0","v468606","7.1.19","792947","","","","0"
"2020","Ontario","2016A000235","Both sexes","15 to 19 years","Persons","249","units","0","v468627","7.1.25","852405","","","","0"
"2020","Ontario","2016A000235","Both sexes","20 to 24 years","Persons","249","units","0","v468648","7.1.31","1039661","","","","0"
"2020","Ontario","2016A000235","Both sexes","25 to 29 years","Persons","249","units","0","v468666","7.1.37","1077433","","","","0"
"2020","Ontario","2016A000235","Both sexes","30 to 34 years","Persons","249","units","0","v468687","7.1.43","1041952","","","","0"
"2020","Ontario","2016A000235","Both sexes","35 to 39 years","Persons","249","units","0","v468705","7.1.49","992844","","","","0"
"2020","Ontario","2016A000235","Both sexes","40 to 44 years","Persons","249","units","0","v468726","7.1.55","921378","","","","0"
"2020","Ontario","2016A000235","Both sexes","45 to 49 years","Persons","249","units","0","v468747","7.1.61","932058","","","","0"
"2020","Ontario","2016A000235","Both sexes","50 to 54 years","Persons","249","units","0","v468765","7.1.67","968546","","","","0"
"2020","Ontario","2016A000235","Both sexes","55 to 59 years","Persons","249","units","0","v468786","7.1.73","1073519","","","","0"
"2020","Ontario","2016A000235","Both sexes","60 to 64 years","Persons","249","units","0","v468804","7.1.79","961243","","","","0"
"2020","Ontario","2016A000235","Both sexes","65 to 69 years","Persons","249","units","0","v468825","7.1.85","803962","","","","0"
"2020","Ontario","2016A000235","Both sexes","70 to 74 years","Persons","249","units","0","v468828","7.1.86","673546","","","","0"
"2020","Ontario","2016A000235","Both sexes","75 to 79 years","Persons","249","units","0","v468831","7.1.87","461015","","","","0"
"2020","Ontario","2016A000235","Both sexes","80 to 84 years","Persons","249","units","0","v468834","7.1.88","319548","","","","0"
"2020","Ontario","2016A000235","Both sexes","85 to 89 years","Persons","249","units","0","v468837","7.1.89","204227","","","","0"
"2020","Ontario","2016A000235","Both sexes","90 to 94 years","Persons","249","units","0","v31226758","7.1.126","98638","","","","0"
"2020","Ontario","2016A000235","Both sexes","95 to 99 years","Persons","249","units","0","v31226764","7.1.132","29527","","","","0"
"2020","Ontario","2016A000235","Both sexes","100 years and over","Persons","249","units","0","v31226770","7.1.138","3895","","","","0"
"2020","Ontario","2016A000235","Both sexes","Median age","Years","308","units","0","v468579","7.1.105","40.4","","","","1"
"2020","Manitoba","2016A000246","Both sexes","All ages","Persons","249","units","0","v468873","8.1.1","1379263","","","","0"
"2020","Manitoba","2016A000246","Both sexes","0 to 4 years","Persons","249","units","0","v469089","8.1.7","85220","","","","0"
"2020","Manitoba","2016A000246","Both sexes","5 to 9 years","Persons","249","units","0","v468903","8.1.13","89507","","","","0"
"2020","Manitoba","2016A000246","Both sexes","10 to 14 years","Persons","249","units","0","v468921","8.1.19","86583","","","","0"
"2020","Manitoba","2016A000246","Both sexes","15 to 19 years","Persons","249","units","0","v468942","8.1.25","85808","","","","0"
"2020","Manitoba","2016A000246","Both sexes","20 to 24 years","Persons","249","units","0","v468963","8.1.31","96636","","","","0"
"2020","Manitoba","2016A000246","Both sexes","25 to 29 years","Persons","249","units","0","v468981","8.1.37","97157","","","","0"
"2020","Manitoba","2016A000246","Both sexes","30 to 34 years","Persons","249","units","0","v469002","8.1.43","98789","","","","0"
"2020","Manitoba","2016A000246","Both sexes","35 to 39 years","Persons","249","units","0","v469020","8.1.49","95203","","","","0"
"2020","Manitoba","2016A000246","Both sexes","40 to 44 years","Persons","249","units","0","v469041","8.1.55","86739","","","","0"
"2020","Manitoba","2016A000246","Both sexes","45 to 49 years","Persons","249","units","0","v469062","8.1.61","82541","","","","0"
"2020","Manitoba","2016A000246","Both sexes","50 to 54 years","Persons","249","units","0","v469080","8.1.67","80302","","","","0"
"2020","Manitoba","2016A000246","Both sexes","55 to 59 years","Persons","249","units","0","v469101","8.1.73","89949","","","","0"
"2020","Manitoba","2016A000246","Both sexes","60 to 64 years","Persons","249","units","0","v469119","8.1.79","83163","","","","0"
"2020","Manitoba","2016A000246","Both sexes","65 to 69 years","Persons","249","units","0","v469140","8.1.85","70981","","","","0"
"2020","Manitoba","2016A000246","Both sexes","70 to 74 years","Persons","249","units","0","v469143","8.1.86","57001","","","","0"
"2020","Manitoba","2016A000246","Both sexes","75 to 79 years","Persons","249","units","0","v469146","8.1.87","38329","","","","0"
"2020","Manitoba","2016A000246","Both sexes","80 to 84 years","Persons","249","units","0","v469149","8.1.88","25922","","","","0"
"2020","Manitoba","2016A000246","Both sexes","85 to 89 years","Persons","249","units","0","v469152","8.1.89","16952","","","","0"
"2020","Manitoba","2016A000246","Both sexes","90 to 94 years","Persons","249","units","0","v31226797","8.1.126","8968","","","","0"
"2020","Manitoba","2016A000246","Both sexes","95 to 99 years","Persons","249","units","0","v31226803","8.1.132","3010","","","","0"
"2020","Manitoba","2016A000246","Both sexes","100 years and over","Persons","249","units","0","v31226809","8.1.138","503","","","","0"
"2020","Manitoba","2016A000246","Both sexes","Median age","Years","308","units","0","v468894","8.1.105","37.6","","","","1"
"2020","Saskatchewan","2016A000247","Both sexes","All ages","Persons","249","units","0","v469188","9.1.1","1178681","","","","0"
"2020","Saskatchewan","2016A000247","Both sexes","0 to 4 years","Persons","249","units","0","v469404","9.1.7","75200","","","","0"
"2020","Saskatchewan","2016A000247","Both sexes","5 to 9 years","Persons","249","units","0","v469218","9.1.13","78696","","","","0"
"2020","Saskatchewan","2016A000247","Both sexes","10 to 14 years","Persons","249","units","0","v469236","9.1.19","76730","","","","0"
"2020","Saskatchewan","2016A000247","Both sexes","15 to 19 years","Persons","249","units","0","v469257","9.1.25","71304","","","","0"
"2020","Saskatchewan","2016A000247","Both sexes","20 to 24 years","Persons","249","units","0","v469278","9.1.31","75402","","","","0"
"2020","Saskatchewan","2016A000247","Both sexes","25 to 29 years","Persons","249","units","0","v469296","9.1.37","77488","","","","0"
"2020","Saskatchewan","2016A000247","Both sexes","30 to 34 years","Persons","249","units","0","v469317","9.1.43","85751","","","","0"
"2020","Saskatchewan","2016A000247","Both sexes","35 to 39 years","Persons","249","units","0","v469335","9.1.49","86664","","","","0"
"2020","Saskatchewan","2016A000247","Both sexes","40 to 44 years","Persons","249","units","0","v469356","9.1.55","76067","","","","0"
"2020","Saskatchewan","2016A000247","Both sexes","45 to 49 years","Persons","249","units","0","v469377","9.1.61","67397","","","","0"
"2020","Saskatchewan","2016A000247","Both sexes","50 to 54 years","Persons","249","units","0","v469395","9.1.67","65716","","","","0"
"2020","Saskatchewan","2016A000247","Both sexes","55 to 59 years","Persons","249","units","0","v469416","9.1.73","77024","","","","0"
"2020","Saskatchewan","2016A000247","Both sexes","60 to 64 years","Persons","249","units","0","v469434","9.1.79","74222","","","","0"
"2020","Saskatchewan","2016A000247","Both sexes","65 to 69 years","Persons","249","units","0","v469455","9.1.85","62071","","","","0"
"2020","Saskatchewan","2016A000247","Both sexes","70 to 74 years","Persons","249","units","0","v469458","9.1.86","46528","","","","0"
"2020","Saskatchewan","2016A000247","Both sexes","75 to 79 years","Persons","249","units","0","v469461","9.1.87","31910","","","","0"
"2020","Saskatchewan","2016A000247","Both sexes","80 to 84 years","Persons","249","units","0","v469464","9.1.88","22791","","","","0"
"2020","Saskatchewan","2016A000247","Both sexes","85 to 89 years","Persons","249","units","0","v469467","9.1.89","15931","","","","0"
"2020","Saskatchewan","2016A000247","Both sexes","90 to 94 years","Persons","249","units","0","v31226836","9.1.126","8492","","","","0"
"2020","Saskatchewan","2016A000247","Both sexes","95 to 99 years","Persons","249","units","0","v31226842","9.1.132","2773","","","","0"
"2020","Saskatchewan","2016A000247","Both sexes","100 years and over","Persons","249","units","0","v31226848","9.1.138","524","","","","0"
"2020","Saskatchewan","2016A000247","Both sexes","Median age","Years","308","units","0","v469209","9.1.105","37.8","","","","1"
"2020","Alberta","2016A000248","Both sexes","All ages","Persons","249","units","0","v469503","10.1.1","4421876","","","","0"
"2020","Alberta","2016A000248","Both sexes","0 to 4 years","Persons","249","units","0","v469719","10.1.7","269163","","","","0"
"2020","Alberta","2016A000248","Both sexes","5 to 9 years","Persons","249","units","0","v469533","10.1.13","277785","","","","0"
"2020","Alberta","2016A000248","Both sexes","10 to 14 years","Persons","249","units","0","v469551","10.1.19","276328","","","","0"
"2020","Alberta","2016A000248","Both sexes","15 to 19 years","Persons","249","units","0","v469572","10.1.25","256742","","","","0"
"2020","Alberta","2016A000248","Both sexes","20 to 24 years","Persons","249","units","0","v469593","10.1.31","277328","","","","0"
"2020","Alberta","2016A000248","Both sexes","25 to 29 years","Persons","249","units","0","v469611","10.1.37","314507","","","","0"
"2020","Alberta","2016A000248","Both sexes","30 to 34 years","Persons","249","units","0","v469632","10.1.43","356226","","","","0"
"2020","Alberta","2016A000248","Both sexes","35 to 39 years","Persons","249","units","0","v469650","10.1.49","359301","","","","0"
